step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std,critic_loss,critic_gradnorm,actor_loss,actor_gradnorm
0,0.033,2.020408580888445,2.020408580888445,0.1,1.03,2.2024926176105994,0.30396723339392084,0.2734840002932221,0.05610522922947848,2.8354269952111995e-05,3.625162241928899e-05,4.662212550580997e-06,2.4819167892537934,2.5098589935669473,2.5918773583186066,2.929265364532299,0.5038553208112717,0.1824147490784526,1.0000000067800283,0.016518694632079497,-0.005610522922947848,-9.136274456977846e-11,0.1,0.040408171617768905,,,,,,,,,,,,,,,,,,,,
0,0.043,,,,,,,,,,,,,,,,,,,,,,,,0.04773768074810505,0.575733733177185,0.9890625715255738,0.049523809523809526,,,,,,,,,,,,,,,,
1,0.099,2.1549220994568894,2.0876653401726672,0.08,1.0609,2.2730875247136404,0.35264776161941036,0.23763281589703492,0.045628294851065905,1.731082018675352e-05,2.1212394815555984e-05,5.606096300346134e-06,2.4771983368079633,2.485977948958711,3.2433807359697666,3.88293099733161,0.49960327506065366,0.21309354074299336,0.9999999983422458,0.017048156435352305,-0.004699714369659789,-7.655471563339233e-11,0.08,0.043098441989137794,,,,,,,,,,,,,,,,,,,,
1,0.102,,,,,,,,,,,,,,,,,,,,,,,,-0.01515604667365551,0.5889639616012573,0.9925359010696411,0.05142857142857142,,,,,,,,,,,,,,,,
2,0.144,1.9015938508550967,2.0256415104001437,0.1,1.092727,2.2485028738658897,0.2471791155679613,0.2764743709308295,0.050258218981707695,4.05714804932949e-05,5.2437186552768946e-05,4.974362314872724e-06,2.517069100018249,2.5315598023012873,3.45652182867294,3.159079430648284,0.492648503780365,0.16020063005387783,1.0000000033713876,0.016863771553994173,-0.005331894451769369,-8.512288331985474e-11,0.1,0.03803187701710192,,,,,,,,,,,,,,,,,,,,
2,0.15,,,,,,,,,,,,,,,,,,,,,,,,-0.04672878417186439,0.5801706790924073,0.9949402451515198,0.06095238095238096,,,,,,,,,,,,,,,,
3,0.193,1.9428621013334397,2.0049466581334676,0.04,1.1255088100000001,2.2422893354800775,0.33341898657620556,0.27564434121279613,0.05225392874976561,3.216788115040259e-05,4.1460298230146564e-05,4.290629911170679e-06,2.52858806840255,2.510918485084443,3.266440061856291,3.321474899561059,0.5005765748023987,0.20669124180451035,1.0000000072270632,0.016817170016100585,-0.005709927880094511,-1.093372702598572e-10,0.04,0.0388572420266688,,,,,,,,,,,,,,,,,,,,
3,0.199,,,,,,,,,,,,,,,,,,,,,,,,0.005836283788084984,0.5932321310043335,0.9940601825714112,0.06095238095238096,,,,,,,,,,,,,,,,
4,0.233,1.9597896692966053,1.995915260366095,0.02,1.1592740743,2.08029763376834,0.25824834289721926,0.2647132534010369,0.05025672616171604,3.528768811992889e-05,4.571121365121296e-05,4.017111526076691e-06,2.4863996314732315,2.51812970875188,3.467126782672311,3.4022541153177186,0.4930333477258682,0.16661323182284832,0.999999990221113,0.015602232253262549,-0.005656438805676891,-6.165355443954469e-11,0.02,0.03919579338593211,,,,,,,,,,,,,,,,,,,,
4,0.238,,,,,,,,,,,,,,,,,,,,,,,,0.011654790118336677,0.5875290036201477,0.9948452472686767,0.060952380952380945,,,,,,,,,,,,,,,,
