episode_return,sum_rate,qos_satisfied,qos_lambda,h_eff_abs_T,phase_entropy_T,rate_common,common_power_frac,ma_return
2.020408580888445,2.2024926176105994,0.1,1.03,4.662212550580997e-06,2.5098589935669473,0.30396723339392084,0.1824147490784526,2.020408580888445
2.1549220994568894,2.2730875247136404,0.08,1.0609,5.606096300346134e-06,2.485977948958711,0.35264776161941036,0.21309354074299336,2.0876653401726672
1.9015938508550967,2.2485028738658897,0.1,1.092727,4.974362314872724e-06,2.5315598023012873,0.2471791155679613,0.16020063005387783,2.0256415104001437
1.9428621013334397,2.2422893354800775,0.04,1.1255088100000001,4.290629911170679e-06,2.510918485084443,0.33341898657620556,0.20669124180451035,2.0049466581334676
1.9597896692966053,2.08029763376834,0.02,1.1592740743,4.017111526076691e-06,2.51812970875188,0.25824834289721926,0.16661323182284832,1.995915260366095
2.0028788856288577,2.203074669627473,0.02,1.1940522965290001,5.333288226045693e-06,2.5035833867721817,0.32178012882468954,0.19048626447096467,1.9970758645765556
1.978251277825584,2.1891959754522103,0.08,1.2298738654248702,4.543984749898741e-06,2.4556233750333147,0.32174768960203387,0.19388513581827282,1.9943866378978454
2.2488918784260306,2.267829050680723,0.08,1.2667700813876164,5.2123522889515195e-06,2.5027323972710205,0.43975739975657296,0.2552067034691572,2.0261997929638684
2.003414138378695,2.2359192852209064,0.04,1.304773183829245,5.820353595794352e-06,2.513481460450519,0.3034546565542548,0.18066643927246331,2.023668053565516
1.875578838449904,2.281906531981976,0.08,1.3439163793441222,3.891767965343856e-06,2.5108026400593464,0.2871809365664981,0.1898272754251957,2.0088591320539546
2.082300442636189,2.3714552127598174,0.1,1.384233870724446,5.735577050718346e-06,2.485624288656483,0.4109860556574445,0.23512057906016706,2.0155356148341577
1.8799892595363321,2.076654331567929,0.02,1.4257608868461793,4.57756598458181e-06,2.5170137193204303,0.24591138893087994,0.1580391213670373,2.0042400852260056
1.788772083957388,2.211695183009791,0.08,1.4685337134515648,4.412048347607979e-06,2.485225865690923,0.2685317620925734,0.166866235435009,1.9876656235899581
2.050404065346928,2.3935184885369556,0.14,1.512589724855112,4.958460724820814e-06,2.505947388986833,0.4218125349797948,0.24368067434057594,1.9921469408583132
1.9418868643185432,2.1885502294936234,0.04,1.5579674166007653,4.659261008446019e-06,2.509360475636776,0.30012384101069073,0.19150117419660093,1.988796269088995
1.8292679231279005,2.2493042202337126,0.08,1.6047064390987884,4.987992536518834e-06,2.508874909735023,0.3309067520030567,0.19579656157642603,1.9788257474664268
