step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std,critic_loss,critic_gradnorm,actor_loss,actor_gradnorm
0,0.03,2.0591189307918873,2.0591189307918873,0.12,1.03,2.153406237619233,0.2610406915103646,0.2499901842899819,0.04718168109961475,2.971818481558752e-05,3.784668086541061e-05,5.332696666118254e-06,2.4907360551604367,2.5186156798012416,3.449569563359866,3.271460860281652,0.49794031023979185,0.16091861508786678,0.9999999821372331,0.016150546782144247,-0.004718168109961475,-5.6345015764236455e-11,0.12,0.04118237861583775,,,,,,,,,,,,,,,,,,,,
0,0.035,,,,,,,,,,,,,,,,,,,,,,,,0.024693919345736504,0.5637929916381836,0.9898580551147461,0.053333333333333344,,,,,,,,,,,,,,,,
1,0.102,2.024168319077013,2.04164362493445,0.04,1.0609,2.339916248777028,0.3591583430660841,0.2630776455087561,0.049184518640126844,3.713720108305701e-05,4.6981756100765924e-05,7.603536029930267e-06,2.5166440419123166,2.4746247868759434,2.8570870351468374,2.435238773040841,0.49463354408740995,0.200394166149199,0.9999999968893826,0.01754937186582771,-0.005066005419933065,-6.435438990592957e-11,0.04,0.04048336638154026,,,,,,,,,,,,,,,,,,,,
1,0.107,,,,,,,,,,,,,,,,,,,,,,,,-0.013176313042640686,0.5844329357147217,0.9914874076843262,0.05142857142857142,,,,,,,,,,,,,,,,
2,0.145,2.0023462573933277,2.028544502420743,0.06,1.092727,2.2216536905387945,0.25746314236200163,0.2416173434668085,0.04350530164877799,2.7424841030652287e-05,3.4471417267469216e-05,6.285112320201492e-06,2.4574276358604217,2.525877175259059,2.4302396548515937,2.940381501691606,0.49739284873008727,0.15349700555205345,0.9999999938718974,0.01666240267904096,-0.004615477451918858,-7.925555109977723e-11,0.06,0.04004692514786656,,,,,,,,,,,,,,,,,,,,
2,0.148,,,,,,,,,,,,,,,,,,,,,,,,0.03255595142836683,0.5427647829055786,0.9931401371955871,0.0419047619047619,,,,,,,,,,,,,,,,
3,0.185,2.1886012346085737,2.0685586854677007,0.14,1.1255088100000001,2.4798832565653406,0.48873230061680917,0.23467370623007766,0.04417479959461632,2.5545451840628176e-05,3.1024638795880036e-05,9.107890974872622e-06,2.490250866359733,2.520897882057981,2.929608532451252,3.2149355012132923,0.49199409008026124,0.24863021690398454,1.0000000055879354,0.018599124424240054,-0.004827099623662631,-1.084059476852417e-10,0.14,0.04377202469217147,,,,,,,,,,,,,,,,,,,,
3,0.191,,,,,,,,,,,,,,,,,,,,,,,,0.00967848850414157,0.5737743139266968,0.9864535808563233,0.04380952380952381,,,,,,,,,,,,,,,,
4,0.23,2.1449179289075717,2.0838305341556747,0.18,1.1592740743,2.3131112010340917,0.3391898202866581,0.24761661072226285,0.04620110751492794,2.9333188171054783e-05,3.679565268550621e-05,6.945794627700492e-06,2.4797761125021283,2.505629411099179,3.85154185274695,3.3722055994628017,0.5053167605400085,0.19122717348858714,0.9999999972619116,0.017348334007755692,-0.005199975353980861,-7.562339305877686e-11,0.18,0.042898358578151434,,,,,,,,,,,,,,,,,,,,
4,0.232,,,,,,,,,,,,,,,,,,,,,,,,-0.012842128425836563,0.5846755623817443,0.9897186994552613,0.06857142857142857,,,,,,,,,,,,,,,,
