step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std,critic_loss,critic_gradnorm,actor_loss,actor_gradnorm
0,0.03,1.987331242028084,1.987331242028084,0.08,1.03,2.298265522020976,0.374363290367491,0.2596238420417791,0.04740366461160545,3.365974725433051e-05,4.353711893522999e-05,4.0276322116320605e-06,2.493713203552558,2.5047895407487486,3.7040697125315494,3.583801229901307,0.4977340817451477,0.23335994863882661,1.0000000092200936,0.017236991415157322,-0.004740366461160545,-1.134350895881653e-10,0.08,0.03974662484056169,,,,,,,,,,,,,,,,,,,,
0,0.039,,,,,,,,,,,,,,,,,,,,,,,,0.016893296595662834,0.5512479186058045,0.9918299436569213,0.05904761904761905,,,,,,,,,,,,,,,,
1,0.085,1.8291505990713157,1.9082409205496997,0.04,1.0609,2.0280085203604896,0.1981553812647712,0.2877849662695441,0.057058755676352935,2.9827131960619167e-05,3.857242205747611e-05,3.591261670048337e-06,2.4899186327287777,2.5273401502530124,2.927888120924334,3.6024877208482184,0.5009438794851303,0.13328983986750245,1.0000000054202973,0.015210063902703677,-0.005877051834664352,-8.661299943923951e-11,0.04,0.03658301198142632,,,,,,,,,,,,,,,,,,,,
1,0.085,,,,,,,,,,,,,,,,,,,,,,,,0.012611260265111923,0.589621651172638,0.9929669737815857,0.047619047619047616,,,,,,,,,,,,,,,,
2,0.135,1.9634053961255493,1.926629079074983,0.06,1.092727,2.0740993361287603,0.25553547964558004,0.24552586589937989,0.045128070472068745,4.532988349700555e-05,5.9427696957823525e-05,3.0364431145515935e-06,2.497199205441953,2.48623202034057,3.850784968834588,3.252967384217361,0.511946570277214,0.18220130048692226,1.000000008214265,0.015555745020965706,-0.004787636996381772,-1.0207295417785647e-10,0.06,0.03926810792251098,,,,,,,,,,,,,,,,,,,,
2,0.14,,,,,,,,,,,,,,,,,,,,,,,,-0.0003302164375782013,0.5541839361190796,0.9902549386024475,0.04,,,,,,,,,,,,,,,,
3,0.179,2.055618893116516,1.958876532585366,0.06,1.1255088100000001,2.0139294545873176,0.28228203458999085,0.21481075289219154,0.03882115981762394,4.224021945830454e-05,5.5270870614492795e-05,3.148265989739742e-06,2.4925548773167914,2.5266413323379715,3.0930832939979234,3.7507529703436036,0.5033877563476562,0.1947733661904931,0.9999999980069697,0.015104470909404883,-0.004242092950403276,-9.66712832450867e-11,0.06,0.041112377862330324,,,,,,,,,,,,,,,,,,,,
3,0.185,,,,,,,,,,,,,,,,,,,,,,,,-0.023123681917786597,0.5843478202819824,0.9883342027664185,0.05333333333333333,,,,,,,,,,,,,,,,
4,0.225,1.946045092189155,1.956310244506124,0.04,1.1592740743,2.0098293960720675,0.25338415379742074,0.2195001613073997,0.03911847258494926,2.6578771450683847e-05,3.444775018982086e-05,2.9718352332728046e-06,2.50914228219979,2.516019371436507,3.118734885103176,3.809397239666638,0.4983995521068573,0.18163726344704628,0.9999999941699207,0.015073720470540503,-0.004402818552810387,-7.3947012424469e-11,0.04,0.03892090184378311,,,,,,,,,,,,,,,,,,,,
4,0.23,,,,,,,,,,,,,,,,,,,,,,,,-0.013822410255670547,0.5618299007415771,0.995666217803955,0.060952380952380945,,,,,,,,,,,,,,,,
5,0.265,2.0708958058052476,1.9754078380559779,0.06,1.1940522965290001,2.1711229937868866,0.30243944218257557,0.22654130185647334,0.04197028426370895,2.500781214381417e-05,3.193612149946292e-05,4.222884076867914e-06,2.5095809750211355,2.498604737717554,3.1508746750468744,2.9362564512739233,0.4917424303293228,0.19907488944008947,1.0000000040978194,0.016283422453401652,-0.004865506243791904,-9.350478649139405e-11,0.06,0.04141791611610496,,,,,,,,,,,,,,,,,,,,
